HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
166,Melrose Park,IL,"117,381 ","9,964 ","9,862 ","4,380 ","4,449 ","2,762 ","2,665 ","1,710 ","1,664 ",677 ,658 ,287 ,267 ,151 ,163 
170,Peoria,IL,"72,112 ","8,592 ","9,202 ","3,915 ","4,240 ","2,215 ","2,358 ","1,606 ","1,716 ",350 ,369 ,287 ,318 ,223 ,204 
171,Rockford,IL,"76,420 ","8,970 ","9,449 ","3,929 ","4,251 ","2,110 ","2,215 ","2,016 ","2,064 ",372 ,369 ,346 ,365 ,201 ,188 
172,Springfield,IL,"102,344 ","8,972 ","9,774 ","4,123 ","4,558 ","2,303 ","2,504 ","1,885 ","2,025 ",310 ,330 ,134 ,151 ,238 ,224 
173,Urbana,IL,"36,908 ","9,220 ","9,838 ","4,246 ","4,566 ","2,053 ","2,218 ","2,250 ","2,366 ",260 ,276 ,193 ,211 ,231 ,212 
175,Bloomington,IL,"16,233 ","8,157 ","8,640 ","3,318 ","3,650 ","2,777 ","2,857 ","1,256 ","1,319 ",325 ,330 ,245 ,270 ,224 ,203 
179,Evansville,IN,"84,359 ","9,296 ","10,422 ","4,465 ","5,272 ","2,112 ","2,239 ","1,930 ","2,091 ",337 ,365 ,245 ,266 ,217 ,200 
180,Fort Wayne,IN,"67,961 ","8,823 ","9,356 ","4,100 ","4,407 ","2,150 ","2,265 ","1,750 ","1,840 ",273 ,288 ,350 ,370 ,204 ,188 
181,Gary,IN,"57,101 ","10,687 ","11,274 ","4,991 ","5,473 ","2,832 ","2,893 ","1,804 ","1,832 ",600 ,609 ,266 ,257 ,188 ,202 
183,Indianapolis,IN,"273,511 ","9,393 ","9,641 ","4,338 ","4,513 ","2,151 ","2,181 ","1,907 ","1,932 ",436 ,438 ,360 ,372 ,205 ,208 
